Unnamed: 0,Sinhala,English
1,ලෙස,as
2,මම,I
3,ඔහුගේ,his
4,බව,that
5,ඔහු,he
6,විය,was
7,සඳහා,for
8,මත,on
9,ඇත,are
10,සමග,with
11,ඔවුන්,they
12,විය,be
13,දී,at
14,එක්,one
15,ඇති,have
16,මෙම,this
17,සිට,from
19,උණුසුම්,hot
20,වචනය,word
21,නමුත්,but
22,කුමක් ද,what
23,සමහර,some
25,එය,it
26,ඔබ,you
29,මෙම,the
30,පිළිබඳ,of
31,කිරීමට,to
33,වූ,a
35,අපි,we
36,පුළුවන්,can
37,පිටතට,out
38,වෙනත්,other
39,වූහ,were
40,වන,which
41,කරන්න,do
42,ඔවුන්ගේ,their
43,කාලය,time
44,නම්,if
45,ඇත,will
46,කොහොමද,how
47,පවසයි,said
50,කියන්න,tell
51,කරන්නේ,does
52,කට්ටලය,set
53,තුනක්,three
54,අවශ්ය,want
55,ගුවන්,air
56,හොඳින්,well
57,ද,also
58,නාට්යයේ,play
59,කුඩා,small
60,අවසානය,end
61,Put,put
62,මුල් පිටුව,home
63,කියවන්න,read
65,වරාය,port
66,විශාල,large
67,අක්ෂර වින්යාස,spell
68,එකතු,add
69,පවා,even
70,ඉඩම්,land
71,මෙතැන,here
72,කල යුතු,must
73,විශාල,big
74,ඉහළ,high
75,එවැනි,such
76,අනුගමනය,follow
77,පනත,act
78,ඇයි,why
79,අහන්න,ask
80,මිනිසුන්,men
81,වෙනස්,change
82,ගිය,went
83,ආලෝකය,light
85,කපා,off
86,අවශ්යතාව,need
87,නිවසක්,house
89,උත්සාහ,try
90,අපට,us
91,නැවත,again
93,පේදුරු,point
94,මව,mother
95,ලෝකයේ,world
96,අසල,near
97,ඉදි,build
98,ස්වයං,self
99,පොළොව,earth
100,පියා,father
101,ඕනෑම,any
102,නව,new
103,වැඩ,work
105,ගත,take
106,ලබා,get
107,ස්ථානය,place
108,සිදු,made
109,සජීවී,live
110,එහිදී,where
111,පසු,after
112,ආපසු,back
113,කුඩා,little
114,පමණක්,only
115,වටයේ,round
116,මිනිසා,man
117,වසර,year
118,පැමිණි,came
119,පෙන්වන්න,show
120,සෑම,every
121,හොඳ,good
122,මට,me
123,දෙන්න,give
125,යටතේ,under
126,නම,name
127,ඉතා,very
128,හරහා,through
129,පමණක්,just
130,ආකෘති පත්රය,form
131,දඬුවම,sentence
132,මහා,great
133,හිතන්න,think
134,කියන්න,say
135,උදව්,help
136,අඩු,low
137,මාර්ගය,line
138,වෙනස්,differ
139,අනෙක් අතට,turn
140,හේතුව,cause
141,බොහෝ,much
142,අදහස්,mean
143,පෙර,before
144,පියවර,move
145,අයිතිය,right
146,පිරිමි ළමයා,boy
147,පැරණි,old
148,ද,too
149,එම,same
150,ඇය,she
151,සියලු,all
152,එතන,there
153,කවදා ද,when
154,දක්වා,up
155,භාවිතය,use
156,ඔබගේ,your
157,මාර්ගය,way
158,ගැන,about
159,බොහෝ,many
160,එවකට,then
161,ඔවුන්,them
162,ලියන්න,write
163,බවත්,would
164,වැනි,like
165,එසේ,so
166,මෙම,these
168,දිගු,long
169,කරන්න,make
170,දෙයක්,thing
171,බලන්න,see
172,ඔහු,him
173,දෙකක්,two
174,ඇත,has
175,බලන්න,look
176,තව,more
177,දින,day
178,හැකි,could
180,පැමිණ,come
181,කළා,did
182,සංඛ්යාව,number
184,කිසිදු,no
185,බොහෝ,most
186,ජනතාව,people
187,මගේ,my
188,කට,over
189,දැන,know
190,ජල,water
191,වඩා,than
192,ඇමතුම්,call
193,පළමු,first
194,කරන,who
195,හැකිය,may
196,වසා,down
197,පැත්ත,side
198,වී,been
199,දැන්,now
200,සොයා,find
201,හිස,head
202,ස්ථාවරය,stand
203,ම,own
204,පිටුව,page
205,කළ යුත්තේ,should
206,රට,country
207,සොයා,found
208,පිළිතුර,answer
209,පාසල්,school
210,වර්ධනය,grow
211,අධ්යයනය,study
213,ඉගෙන,learn
215,ආවරණය,cover
216,ආහාර,food
217,හිරු,sun
218,හතර,four
219,අතර,between
220,රාජ්ය,state
221,තබා,keep
222,ඇස,eye
223,කවදාවත්,never
224,පසුගිය,last
225,ඉඩ දෙන්න,let
226,කල්පනා,thought
227,නගරය,city
228,ගසක්,tree
229,හරස්,cross
230,ගොවිපල,farm
231,වෙහෙස මහන්සි වී,hard
232,ආරම්භයක්,start
233,සමහරවිට,might
234,කතාව,story
235,කියත්,saw
236,දුර,far
237,මුහුදු,sea
238,දිනුම් ඇදීම,draw
239,වම්,left
241,ලකුණු,run
242,නෑ,don’t
244,මාධ්ය,press
245,සමීප,close
246,රාත්රී,night
247,සැබෑ,real
248,ජීවිතය,life
249,කිහිපයක්,few
251,පොත,book
252,රැගෙන,carry
253,ගත්,took
254,විද්යාව,science
255,කන්න,eat
256,කාමරය,room
259,අදහස,idea
260,මාළු,fish
261,කඳු,mountain
262,නවත්වන්න,stop
263,වරක්,once
265,සවන්,hear
266,අශ්වයා,horse
267,සැපයුම අත්හිටුවන,cut
268,වග බලා ගන්න,sure
269,වොච්,watch
270,වර්ණ,color
271,මුහුණ,face
272,ලී,wood
273,ප්රධාන,main
274,විවෘත,open
275,පෙනේ,seem
277,ඊළඟ,next
278,සුදු,white
279,දරුවන්,children
280,ආරම්භය,begin
281,වී,got
282,ඇවිදින්න,walk
283,උදාහරණයක්,example
284,පහසුවෙන්,ease
286,පිරිසක්,group
287,සෑම විටම,always
288,සංගීතය,music
289,එම,those
290,දෙකම,both
291,ලකුණ,mark
292,බොහෝ විට,often
293,ලිපිය,letter
294,දක්වා,until
295,සැතපුම්,mile
296,ගඟ,river
297,මෝටර් රථ,car
298,අඩි,feet
299,සත්කාර,care
301,ඇති,enough
302,තැනිතලා,plain
303,දැරිය,girl
304,සුපුරුදු,usual
305,තරුණ,young
306,සූදානම්,ready
307,ඉහත,above
308,මෙතෙක්,ever
309,රතු,red
310,ලැයිස්තුව,list
311,නමුත්,though
312,හිතෙනවා,feel
313,සාකච්ඡාව,talk
314,පක්ෂි,bird
315,ඉක්මනින්,soon
316,ශරීරය,body
317,බල්ලා,dog
318,පවුලේ,family
320,මතු,pose
321,නිවාඩු,leave
323,පියවරක්,measure
324,දොර,door
325,නිෂ්පාදන,product
326,කළු,black
327,කෙටි,short
328,ඉලක්කම,numeral
329,පන්ති,class
331,ප්රශ්නය,question
332,සිදු,happen
333,සම්පූර්ණ,complete
334,නෞකාව,ship
335,ප්රදේශයේ,area
336,අර්ධ,half
337,ගල්,rock
338,නියෝගයක්,order
339,ගිනි,fire
340,දකුණු,south
341,ප්රශ්නය,problem
342,කෑල්ලක්,piece
343,පවසා,told
344,දැන,knew
345,සාමාර්ථයක්,pass
346,සිට,since
347,ඉහළ,top
348,මුළු,whole
349,රජු,king
350,වීදි,street
351,අඟල්,inch
352,ගුණ,multiply
353,කිසිවක්,nothing
354,පාඨමාලාව,course
355,ඉන්න,stay
356,රෝද,wheel
357,පූර්ණ,full
358,බලය,force
359,නිල්,blue
360,වස්තුව,object
362,මතුපිට,surface
364,සඳ,moon
366,අඩි,foot
367,පද්ධතිය,system
368,කාර්යබහුල,busy
369,ටෙස්ට්,test
370,වාර්තා,record
371,බෝට්ටු,boat
372,පොදු,common
373,රන්,gold
374,හැකි,possible
375,තලය,plane
376,වෙනුවට,stead
377,වියළි,dry
378,පුදුමයක්,wonder
379,සිනහ,laugh
380,දහසක්,thousand
381,පෙර,ago
383,චෙක්පත,check
384,ක්රීඩාව,game
385,හැඩය,shape
386,සමාන,equate
387,උණුසුම්,hot
388,මම ඔයාට ආදරේ,miss
389,ගෙන එන,brought
390,තාපය,heat
391,හිම,snow
393,ගෙන ඒමට,bring
394,ඔව්,yes
395,ඈත,distant
396,පිරවීම,fill
397,නැගෙනහිර,east
398,තීන්ත,paint
400,අතර,among
401,ඒකකය,unit
402,බලය,power
403,නගරයේ,town
404,දඩ,fine
405,ඇතැම්,certain
406,පියාසර තහනම්,fly
407,වැටීම,fall
408,පෙරමුණ,lead
409,ගැස්මට,cry
410,අඳුරු,dark
412,සටහන,note
413,ඉන්න,wait
414,සැලැස්ම,plan
415,චරිතයක්,figure
416,තරු,star
417,කොටුව,box
418,නාම පදයක්,noun
419,ක්ෂේත්රයේ,field
420,ඉතිරි,rest
421,නිවැරදි,correct
422,හැකි,able
423,රාත්තල්,pound
424,සිදු,done
426,තැටිය,drive
427,සිටගෙන,stood
428,අඩංගු,contain
429,ඉදිරිපස,front
430,ඉගැන්වීමට,teach
431,සතියේ,week
432,අවසන්,final
434,හරිත,green
435,අයියෝ,oh
436,ඉක්මන්,quick
437,සංවර්ධනය,develop
439,උණුසුම්,warm
441,විනාඩි,minute
442,ශක්තිමත්,strong
443,විශේෂ,special
444,මනස,mind
445,පිටුපස,behind
446,පැහැදිලි,clear
447,වලිගය,tail
448,නිපැයුම,produce
449,ඇත්ත,fact
450,අවකාශය,space
451,අසා,heard
452,හොඳම,best
453,පැය,hour
454,වඩා හොඳ,better
455,සැබෑ,TRUE
456,තුළ,during
457,සියයක්,hundred
458,පස්,five
459,මතක තබා,remember
460,පියවර,step
461,මුල්,early
462,පැවැත්වීමට,hold
463,බටහිර,west
464,බිම,ground
465,පොලී,interest
466,ළඟා,reach
468,ක්රියා පදයෙන්,verb
469,ගී ගයන්න,sing
470,සවන්,listen
471,හය,six
472,වගුව,table
473,සංචාරක,travel
474,අඩු,less
475,අද උදෑසන,morning
476,දස,ten
477,සරල,simple
478,කිහිපයක්,several
479,ස්වර,vowel
480,දෙසට,toward
481,යුද්ධය,war
482,ගිහි,lay
483,එරෙහිව,against
484,රටාව,pattern
485,මන්දගාමී,slow
486,මධ්යස්ථානයක්,center
487,ආදරය,love
488,පුද්ගලයා,person
489,මුදල්,money
490,සේවය,serve
491,පෙනී,appear
492,මාර්ග,road
493,සිතියම,map
494,වැසි,rain
495,පාලනය,rule
496,පාලනය,govern
497,අදින්න,pull
499,දැනුම් දීමකින්,notice
500,හඬ,voice
